HORA;INTERNETO;DemSNI;DemProg;TurbinadeVapor;Biomasa;TurbinadeGas;Geotermica;Fotovoltaica;Eolico;Hidroelectrica;MotorReciprocante;Biogas
1;-125.5;793.3;797.43;238.5;424.4;0;33.7;0;72.4;132.2;16.6;1
2;-87.4;776.7;787.27;233.3;402.3;0;33.7;0;71.8;101.9;20.2;0.9
3;-108.4;734.9;794.034;232.9;405;0;34.1;0;69.6;87.5;13.3;0.9
4;-73.3;807.4;802.264;236.5;426.6;0;34.5;0;64.9;96.7;20.6;0.9
5;-73.7;905.9;902.361;269.7;422.4;0;34.5;0;68.6;163.5;20;0.9
6;-72.7;1091.4;1097.691;308.7;426;0;34.3;0;59.1;316.1;19;0.9
7;-42.9;1135.1;1118.351;334;424.5;0;33.7;12.8;55.6;304;12.5;0.9
8;-53.7;1201.7;1164.333;328.3;430.7;0;33.6;59.9;64.9;284.9;52.1;1
9;-71.9;1280.5;1271.591;323.6;432;0;32.9;67.2;64.7;367.3;63.7;1
10;-93.5;1287.7;1321.059;327.1;412;0;32.8;67.2;61.5;408.6;71.1;0.9
11;-73.3;1376.5;1383.422;325.7;409.3;0;30.9;68.4;39.8;447.7;127.1;0.9
12;-79.9;1360.7;1399.872;326.5;406.2;0;13.2;69.9;11.8;452.9;159.2;0.9
13;-79.8;1295.1;1363.396;326.2;407.3;0;25.9;59.9;1.6;423.1;130;0.9
14;-64.4;1317.4;1331.137;327.2;403.5;0;30.4;68.1;9.1;411.5;131.1;0.9
15;-90.7;1308;1325.27;332.7;413.9;0;32;66.7;10.6;411.9;130;0.9
16;-83.1;1297.401;1302.628;326.965;405.525;0;34.205;40.34;3.7;471.91;96.956;0.9
17;-93.86;1268.43;1271.13;326.965;405.525;0;34.205;25.9;3.23;468.609;96.956;0.9
18;0;0;1331.829;0;0;0;0;0;0;0;0;0
19;0;0;1627.846;0;0;0;0;0;0;0;0;0
20;0;0;1586.971;0;0;0;0;0;0;0;0;0
21;0;0;1481.002;0;0;0;0;0;0;0;0;0
22;0;0;1290.376;0;0;0;0;0;0;0;0;0
23;0;0;1094.361;0;0;0;0;0;0;0;0;0
24;0;0;945.532;0;0;0;0;0;0;0;0;0